memory1,compute1,memory2,compute2,memory3,compute3,startup_time,load,throughput,latency
4,40,4,30,2,30,77861.176,2,1.103,1261.101
4,40,4,30,2,30,77861.176,4,2.084,1839.528
4,40,4,30,2,30,77861.176,8,2.336,2868.814
4,40,4,30,2,30,77861.176,16,2.736,4901.559
4,40,4,30,2,30,77861.176,32,2.582,9010.092
4,40,4,30,2,30,77861.176,64,3.071,16686.749
4,40,4,30,2,30,77861.176,128,3.267,25584.844
4,10,4,10,4,10,75792.492,2,1.318,1314.613
4,10,4,10,4,10,75792.492,4,1.472,2113.491
4,10,4,10,4,10,75792.492,8,1.987,3193.77
4,10,4,10,4,10,75792.492,16,2.269,6190.132
4,10,4,10,4,10,75792.492,32,2.338,12645.403
4,10,4,10,4,10,75792.492,64,2.234,26502.729
4,10,4,10,4,10,75792.492,128,2.389,42325.547
4,10,4,10,4,20,72366.041,2,1.045,1565.831
4,10,4,10,4,20,72366.041,4,1.586,1892.01
4,10,4,10,4,20,72366.041,8,2.037,3371.184
4,10,4,10,4,20,72366.041,16,2.372,5513.342
4,10,4,10,4,20,72366.041,32,2.465,11062.949
4,10,4,10,4,20,72366.041,64,2.449,22028.987
4,10,4,10,4,20,72366.041,128,2.41,35808.196
4,20,4,20,4,20,71309.9,2,1.24,1215.124
4,20,4,20,4,20,71309.9,4,2.324,1565.518
4,20,4,20,4,20,71309.9,8,2.732,2496.266
4,20,4,20,4,20,71309.9,16,3.173,4780.056
4,20,4,20,4,20,71309.9,32,3.567,8494.666
4,20,4,20,4,20,71309.9,64,2.752,20070.269
4,20,4,20,4,20,71309.9,128,2.556,34199.409
4,30,4,30,4,20,75527.858,2,1.24,1411.833
4,30,4,30,4,20,75527.858,4,1.982,1613.443
4,30,4,30,4,20,75527.858,8,2.735,2645.325
4,30,4,30,4,20,75527.858,16,3.373,4356.082
4,30,4,30,4,20,75527.858,32,3.413,8034.969
4,30,4,30,4,20,75527.858,64,3.292,16004.114
4,30,4,30,4,20,75527.858,128,3.082,27443.374
4,40,4,30,4,30,97289.437,2,1.322,1461.625
4,40,4,30,4,30,97289.437,4,2.33,1462.833
4,40,4,30,4,30,97289.437,8,2.555,2671.91
4,40,4,30,4,30,97289.437,16,2.785,4234.718
4,40,4,30,4,30,97289.437,32,2.765,8073.977
4,40,4,30,4,30,97289.437,64,4.234,13420.96
4,40,4,30,4,30,97289.437,128,3.782,23920.461
6,10,4,10,4,10,70451.045,2,0.993,1715.323
