memory,compute,startup_time,load,throughput,latency
8,100,43788.042,8,0.737,10840.173
8,100,43788.042,16,0.808,19769.676
8,100,43788.042,32,1.014,31507.012
8,100,43788.042,64,1.023,46991.923
8,100,43788.042,128,0.945,84454.527
10,10,43016.711,1,0.452,2209.798
10,10,43016.711,2,0.569,3513.168
10,10,43016.711,4,0.642,6223.329
10,10,43016.711,8,0.687,11643.01
10,10,43016.711,16,0.661,24183.18
10,10,43016.711,32,0.675,47347.588
10,10,43016.711,64,0.675,71064.308
10,10,43016.711,128,0.673,118616.2
10,20,55417.231,1,0.621,1608.635
10,20,55417.231,2,0.764,2615.023
10,20,55417.231,4,0.884,4520.729
10,20,55417.231,8,0.945,8456.012
10,20,55417.231,16,0.971,16460.535
10,20,55417.231,32,0.903,35347.843
10,20,55417.231,64,0.931,51609.657
10,20,55417.231,128,0.866,89200.135
10,40,44344.441,1,0.473,2112.824
10,40,44344.441,2,0.621,3216.69
10,40,44344.441,4,0.698,5723.715
10,40,44344.441,8,0.758,10541.029
10,40,44344.441,16,0.777,20571.561
10,40,44344.441,32,0.766,41736.459
10,40,44344.441,64,0.832,56735.335
10,40,44344.441,128,0.94,87895.806
10,60,46752.106,1,0.584,1711.73
10,60,46752.106,2,0.686,2914.301
10,60,46752.106,4,0.812,4920.488
10,60,46752.106,8,0.875,9137.07
10,60,46752.106,16,0.896,17776.985
10,60,46752.106,32,0.868,36830.499
10,60,46752.106,64,0.896,55167.474
10,60,46752.106,128,0.833,91402.104
10,80,45732.614,1,0.662,1508.717
10,80,45732.614,2,0.765,2612.776
10,80,45732.614,4,0.904,4419.338
10,80,45732.614,8,0.947,8437.825
10,80,45732.614,16,1.014,15743.489
10,80,45732.614,32,1.008,31717.106
10,80,45732.614,64,1.01,47714.547
10,80,45732.614,128,0.895,85439.282
10,100,42462.987,1,0.71,1408.596
10,100,42462.987,2,0.585,3414.254
10,100,42462.987,4,0.686,5827.037
10,100,42462.987,8,1.06,7534.565
10,100,42462.987,16,1.075,14858.569
10,100,42462.987,32,1.058,30199.207
10,100,42462.987,64,1.027,46560.187
10,100,42462.987,128,1.023,78239.924
12,10,44877.367,1,0.452,2210.394
12,10,44877.367,2,0.585,3414.439
12,10,44877.367,4,0.663,6025.068
12,10,44877.367,8,0.705,11340.585
12,10,44877.367,16,0.684,23380.5
12,10,44877.367,32,0.681,46941.035
12,10,44877.367,64,0.685,70057.686
12,10,44877.367,128,0.686,116471.43
12,20,43444.836,1,0.585,1709.055
12,20,43444.836,2,0.796,2511.669
12,20,43444.836,4,0.925,4318.233
