memory,compute,startup_time,load,throughput,latency
6,40,35332.675,1,1.995,500.543
6,40,35332.675,2,2.232,843.744
6,40,35332.675,3,2.651,1122.048
6,40,35332.675,4,2.472,1603.718
6,40,35332.675,5,0.849,5862.36
6,40,35332.675,6,0.804,7381.968
6,40,35332.675,7,0.783,8838.029
6,40,35332.675,8,0.792,9995.576
6,40,35332.675,9,0.783,11327.13
6,40,35332.675,10,0.754,13104.449
6,60,34496.894,1,1.932,516.863
6,60,34496.894,2,2.451,809.147
6,60,34496.894,3,2.593,1143.619
6,60,34496.894,4,2.433,1608.568
6,60,34496.894,5,0.841,5908.569
6,60,34496.894,6,0.801,7411.911
6,60,34496.894,7,0.707,9808.261
6,60,34496.894,8,0.757,10459.923
6,60,34496.894,9,0.738,12087.535
6,60,34496.894,10,0.738,13444.398
6,80,34978.154,1,1.998,499.711
6,80,34978.154,2,2.311,857.166
6,80,34978.154,3,2.054,1449.9
6,80,34978.154,4,2.418,1640.171
6,80,34978.154,5,0.825,6014.645
6,80,34978.154,6,0.753,7860.604
6,80,34978.154,7,0.774,8948.605
6,80,34978.154,8,0.781,10136.598
6,80,34978.154,9,0.771,11527.691
6,80,34978.154,10,0.753,13120.347
6,100,34314.358,1,1.99,501.855
6,100,34314.358,2,2.43,820.736
6,100,34314.358,3,2.6,1125.316
6,100,34314.358,4,2.431,1626.378
6,100,34314.358,5,0.829,5975.705
6,100,34314.358,6,0.779,7585.131
6,100,34314.358,7,0.794,8727.362
6,100,34314.358,8,0.767,10342.825
6,100,34314.358,9,0.771,11509.945
6,100,34314.358,10,0.764,12916.562
8,10,36464.926,1,1.934,516.341
8,10,36464.926,2,2.466,809.49
8,10,36464.926,3,2.448,1153.987
8,10,36464.926,4,2.358,1596.032
8,10,36464.926,5,0.836,5937.791
8,10,36464.926,6,0.795,7468.522
8,10,36464.926,7,0.8,8684.525
8,10,36464.926,8,0.804,9862.881
8,10,36464.926,9,0.775,11448.401
8,10,36464.926,10,0.768,12775.488
8,20,34560.814,1,2.01,496.842
8,20,34560.814,2,2.503,797.192
8,20,34560.814,3,2.339,1257.12
8,20,34560.814,4,2.413,1616.974
8,20,34560.814,5,0.858,5805.286
8,20,34560.814,6,0.789,7475.431
8,20,34560.814,7,0.789,8731.34
8,20,34560.814,8,0.804,9831.771
8,20,34560.814,9,0.795,11168.66
8,20,34560.814,10,0.77,12873.282
8,40,36576.177,1,1.988,502.272
8,40,36576.177,2,2.248,878.201
8,40,36576.177,3,2.596,1147.219
8,40,36576.177,4,2.298,1643.847
8,40,36576.177,5,0.828,5993.15
8,40,36576.177,6,0.777,7634.878
8,40,36576.177,7,0.787,8786.962
8,40,36576.177,8,0.788,10076.381
8,40,36576.177,9,0.775,11457.147
8,40,36576.177,10,0.747,13183.431
8,60,36760.542,1,1.567,637.661
8,60,36760.542,2,2.141,909.173
8,60,36760.542,3,2.364,1243.736
8,60,36760.542,4,2.389,1639.428
8,60,36760.542,5,0.843,5869.407
8,60,36760.542,6,0.781,7621.283
8,60,36760.542,7,0.818,8426.196
8,60,36760.542,8,0.789,10010.431
8,60,36760.542,9,0.766,11600.654
8,60,36760.542,10,0.774,12802.194
8,80,37128.789,1,1.897,526.391
8,80,37128.789,2,2.093,929.864
8,80,37128.789,3,2.524,1169.539
8,80,37128.789,4,2.037,1863.559
8,80,37128.789,5,0.832,5919.03
8,80,37128.789,6,0.79,7507.165
8,80,37128.789,7,0.772,8945.525
8,80,37128.789,8,0.776,10191.115
8,80,37128.789,9,0.764,11557.272
8,80,37128.789,10,0.767,12879.026
8,100,35229.506,1,1.942,514.211
8,100,35229.506,2,2.307,853.238
8,100,35229.506,3,2.279,1210.202
8,100,35229.506,4,2.236,1766.63
8,100,35229.506,5,0.852,5815.078
8,100,35229.506,6,0.751,7913.639
8,100,35229.506,7,0.784,8813.519
8,100,35229.506,8,0.758,10439.51
8,100,35229.506,9,0.785,11300.9
8,100,35229.506,10,0.787,12544.088
10,10,35983.903,1,1.869,534.473
10,10,35983.903,2,1.993,984.404
10,10,35983.903,3,2.16,1357.981
10,10,35983.903,4,2.161,1801.268
10,10,35983.903,5,0.858,5743.35
10,10,35983.903,6,0.801,7425.69
10,10,35983.903,7,0.803,8613.505
10,10,35983.903,8,0.818,9538.588
10,10,35983.903,9,0.789,11269.12
10,10,35983.903,10,0.776,12656.774
10,20,36675.076,1,1.919,520.368
10,20,36675.076,2,1.796,1077.034
10,20,36675.076,3,2.157,1325.076
10,20,36675.076,4,2.092,1861.884
10,20,36675.076,5,0.861,5776.638
10,20,36675.076,6,0.768,7740.678
10,20,36675.076,7,0.812,8523.758
10,20,36675.076,8,0.781,10140.426
10,20,36675.076,9,0.761,11709.049
10,20,36675.076,10,0.761,12920.831
10,40,35944.133,1,1.854,538.732
10,40,35944.133,2,1.765,1092.608
10,40,35944.133,3,2.438,1209.786
10,40,35944.133,4,1.989,1972.809
10,40,35944.133,5,0.852,5836.541
10,40,35944.133,6,0.78,7618.103
10,40,35944.133,7,0.786,8794.545
10,40,35944.133,8,0.782,10138.503
10,40,35944.133,9,0.76,11671.332
10,40,35944.133,10,0.774,12682.22
10,60,38277.349,1,1.801,554.338
10,60,38277.349,2,2.401,831.193
10,60,38277.349,3,1.936,1511.598
10,60,38277.349,4,2.08,1881.047
10,60,38277.349,5,0.858,5800.906
10,60,38277.349,6,0.813,7293.316
10,60,38277.349,7,0.786,8799.655
10,60,38277.349,8,0.781,10156.082
10,60,38277.349,9,0.803,11080.684
10,60,38277.349,10,0.794,12451.146
10,80,38634.668,1,1.196,835.518
10,80,38634.668,2,2.373,841.079
10,80,38634.668,3,2.491,1190.81
10,80,38634.668,4,1.822,2144.044
10,80,38634.668,5,0.82,6040.477
10,80,38634.668,6,0.788,7567.973
10,80,38634.668,7,0.763,9058.141
10,80,38634.668,8,0.803,9821.652
10,80,38634.668,9,0.771,11445.779
10,80,38634.668,10,0.776,12726.871
10,100,37453.534,1,1.832,545.006
10,100,37453.534,2,2.237,892.442
10,100,37453.534,3,2.209,1323.077
10,100,37453.534,4,1.879,2082.494
10,100,37453.534,5,0.868,5727.869
10,100,37453.534,6,0.804,7410.318
10,100,37453.534,7,0.79,8738.683
10,100,37453.534,8,0.784,10005.078
10,100,37453.534,9,0.778,11400.705
10,100,37453.534,10,0.746,13266.723
12,10,37407.608,1,1.474,677.761
12,10,37407.608,2,2.385,836.686
12,10,37407.608,3,2.243,1303.171
12,10,37407.608,4,1.592,2351.522
12,10,37407.608,5,0.864,5720.627
12,10,37407.608,6,0.809,7320.988
12,10,37407.608,7,0.78,8906.397
12,10,37407.608,8,0.784,10064.324
12,10,37407.608,9,0.781,11387.468
12,10,37407.608,10,0.785,12514.016
12,20,38111.873,1,1.413,707.055
12,20,38111.873,2,2.184,894.271
12,20,38111.873,3,1.712,1679.759
12,20,38111.873,4,2.073,1804.349
12,20,38111.873,5,0.844,5877.237
12,20,38111.873,6,0.809,7329.007
12,20,38111.873,7,0.803,8645.958
12,20,38111.873,8,0.792,9951.23
12,20,38111.873,9,0.777,11400.729
12,20,38111.873,10,0.784,12587.762
12,40,37459.193,1,1.78,561.036
12,40,37459.193,2,1.239,1532.15
12,40,37459.193,3,1.723,1572.966
12,40,37459.193,4,1.781,2226.909
12,40,37459.193,5,0.868,5712.683
12,40,37459.193,6,0.793,7467.687
12,40,37459.193,7,0.779,8871.389
12,40,37459.193,8,0.805,9813.711
12,40,37459.193,9,0.804,11111.254
12,40,37459.193,10,0.786,12578.76
12,60,39240.591,1,1.307,764.452
12,60,39240.591,2,1.995,976.572
12,60,39240.591,3,1.729,1705.985
12,60,39240.591,4,2.06,1921.33
12,60,39240.591,5,0.842,5888.917
12,60,39240.591,6,0.787,7554.327
12,60,39240.591,7,0.8,8690.213
12,60,39240.591,8,0.779,10093.305
12,60,39240.591,9,0.744,11973.504
12,60,39240.591,10,0.754,12995.284
12,80,39304.139,1,1.705,585.589
12,80,39304.139,2,1.698,1138.102
