memory1,compute1,memory2,compute2,startup_time,load,throughput,latency
4,70,6,70,55073.956,16,2.207,6815.803
4,70,6,70,55073.956,32,2.238,13113.587
4,70,6,70,55073.956,64,2.428,25443.916
4,70,6,70,55073.956,128,2.577,36751.311
4,80,6,80,56517.892,2,1.413,1312.742
4,80,6,80,56517.892,4,1.796,2069.971
4,80,6,80,56517.892,8,2.089,3621.692
4,80,6,80,56517.892,16,2.237,6838.058
4,80,6,80,56517.892,32,2.272,13662.65
4,80,6,80,56517.892,64,1.834,30533.805
4,80,6,80,56517.892,128,1.99,44263.135
4,90,6,90,54904.698,2,1.638,1116.851
4,90,6,90,54904.698,4,1.801,1916.549
4,90,6,90,54904.698,8,2.146,3671.532
4,90,6,90,54904.698,16,2.3,6640.258
4,90,6,90,54904.698,32,2.321,12860.12
4,90,6,90,54904.698,64,2.456,25411.367
4,90,6,90,54904.698,128,2.51,37826.709
4,100,6,100,59179.454,2,1.414,1264.394
4,100,6,100,59179.454,4,1.799,2116.717
4,100,6,100,59179.454,8,2.478,3070.468
4,100,6,100,59179.454,16,1.767,7536.041
4,100,6,100,59179.454,32,2.409,12903.864
4,100,6,100,59179.454,64,1.906,28815.133
4,100,6,100,59179.454,128,2.004,42640.381
6,60,6,60,55732.286,2,1.522,1212.24
6,60,6,60,55732.286,4,2.087,1713.235
6,60,6,60,55732.286,8,2.479,2869.938
6,60,6,60,55732.286,16,2.479,6390.876
6,60,6,60,55732.286,32,2.39,13165.447
6,60,6,60,55732.286,64,2.248,26537.004
6,60,6,60,55732.286,128,2.181,40982.371
6,70,6,70,58596.705,2,1.652,1160.702
6,70,6,70,58596.705,4,2.474,1613.372
6,70,6,70,58596.705,8,3.045,2518.875
6,70,6,70,58596.705,16,3.518,4182.976
6,70,6,70,58596.705,32,3.735,8182.07
6,70,6,70,58596.705,64,3.827,15612.068
6,70,6,70,58596.705,128,2.993,25944.329
6,80,6,80,54968.765,2,1.513,1267.826
6,80,6,80,54968.765,4,1.883,1917.393
6,80,6,80,54968.765,8,2.034,3323.901
6,80,6,80,54968.765,16,2.147,6755.086
6,80,6,80,54968.765,32,2.191,13557.764
6,80,6,80,54968.765,64,2.256,27193.419
6,80,6,80,54968.765,128,2.246,40469.894
6,90,6,90,58926.626,2,1.515,1217.505
6,90,6,90,58926.626,4,1.586,2469.315
6,90,6,90,58926.626,8,1.69,4261.479
6,90,6,90,58926.626,16,1.807,8088.188
6,90,6,90,58926.626,32,1.861,15117.152
6,90,6,90,58926.626,64,2.74,22751.844
6,90,6,90,58926.626,128,1.876,42935.156
6,100,6,100,58307.524,2,1.794,1066.129
6,100,6,100,58307.524,4,2.64,1462.753
6,100,6,100,58307.524,8,3.047,2568.458
6,100,6,100,58307.524,16,2.934,5336.413
6,100,6,100,58307.524,32,2.786,11207.932
6,100,6,100,58307.524,64,2.639,23613.746
6,100,6,100,58307.524,128,2.094,40135.687
6,60,8,60,60223.541,2,2.445,762.81
6,60,8,60,60223.541,4,1.888,1863.649
6,60,8,60,60223.541,8,2.087,3522.779
6,60,8,60,60223.541,16,1.731,7443.232
6,60,8,60,60223.541,32,1.693,16111.805
6,60,8,60,60223.541,64,1.973,29676.628
6,60,8,60,60223.541,128,2.307,40572.825
6,70,8,70,55942.415,2,1.979,963.637
6,70,8,70,55942.415,4,3.033,1263.276
6,70,8,70,55942.415,8,3.438,2268.873
6,70,8,70,55942.415,16,3.596,4182.035
6,70,8,70,55942.415,32,3.486,8020.856
6,70,8,70,55942.415,64,2.264,21126.367
6,70,8,70,55942.415,128,2.18,32093.685
6,80,8,80,53708.021,2,1.321,1412.407
6,80,8,80,53708.021,4,2.203,1762.894
6,80,8,80,53708.021,8,2.554,3086.117
6,80,8,80,53708.021,16,2.481,6133.987
6,80,8,80,53708.021,32,2.692,11557.993
6,80,8,80,53708.021,64,2.641,23978.42
6,80,8,80,53708.021,128,2.289,38943.765
6,90,8,90,55360.947,2,1.408,1015.168
6,90,8,90,55360.947,4,2.331,1512.544
6,90,8,90,55360.947,8,2.733,2669.164
6,90,8,90,55360.947,16,2.518,6036.368
6,90,8,90,55360.947,32,2.289,12681.283
6,90,8,90,55360.947,64,2.565,24099.454
6,90,8,90,55360.947,128,2.269,39392.169
6,100,8,100,60115.497,2,1.638,1067.578
6,100,8,100,60115.497,4,2.325,1565.553
6,100,8,100,60115.497,8,3.044,2570.418
6,100,8,100,60115.497,16,2.78,5688.461
6,100,8,100,60115.497,32,2.669,11586.225
6,100,8,100,60115.497,64,2.494,24311.185
6,100,8,100,60115.497,128,2.314,39321.997
