memory1,compute1,memory2,compute2,memory3,compute3,memory4,compute4,startup_time,load,throughput,latency
4,10,4,10,4,10,2,10,109199.205,8,2.206,3221.364
4,10,4,10,4,10,2,10,109199.205,16,2.037,6761.916
4,10,4,10,4,10,2,10,109199.205,32,2.015,14310.595
4,10,4,10,4,10,2,10,109199.205,64,2.275,26796.602
4,10,4,10,4,10,2,10,109199.205,128,2.129,53129.768
4,20,4,20,4,10,2,10,99036.316,2,1.168,1662.875
4,20,4,20,4,10,2,10,99036.316,4,1.727,1664.334
4,20,4,20,4,10,2,10,99036.316,8,2.335,2969.203
4,20,4,20,4,10,2,10,99036.316,16,2.523,5456.468
4,20,4,20,4,10,2,10,99036.316,32,2.321,12246.194
4,20,4,20,4,10,2,10,99036.316,64,2.307,23841.845
4,20,4,20,4,10,2,10,99036.316,128,2.331,48814.018
4,20,4,20,4,20,2,20,94861.974,2,1.524,1160.173
4,20,4,20,4,20,2,20,94861.974,4,2.192,1489.45
4,20,4,20,4,20,2,20,94861.974,8,2.834,2443.107
4,20,4,20,4,20,2,20,94861.974,16,3.171,4354.143
4,20,4,20,4,20,2,20,94861.974,32,3.53,8405.436
4,20,4,20,4,20,2,20,94861.974,64,3.074,19951.479
4,20,4,20,4,20,2,20,94861.974,128,2.961,42075.245
4,40,4,20,4,20,2,20,100695.637,2,1.418,1158.795
4,40,4,20,4,20,2,20,100695.637,4,1.587,1839.602
4,40,4,20,4,20,2,20,100695.637,8,2.405,2743.71
4,40,4,20,4,20,2,20,100695.637,16,2.372,5004.538
4,40,4,20,4,20,2,20,100695.637,32,2.916,9072.848
4,40,4,20,4,20,2,20,100695.637,64,2.644,18758.875
4,40,4,20,4,20,2,20,100695.637,128,2.542,37494.903
