memory1,compute1,memory2,compute2,memory3,compute3,startup_time,load,throughput,latency
4,40,4,30,2,30,81662.479,2,0.904,1964.282
4,40,4,30,2,30,81662.479,4,1.581,2245.815
4,40,4,30,2,30,81662.479,8,1.766,3686.135
4,40,4,30,2,30,81662.479,16,1.917,6524.8
4,40,4,30,2,30,81662.479,32,1.976,12301.455
4,40,4,30,2,30,81662.479,64,1.907,24233.556
4,40,4,30,2,30,81662.479,128,2.698,30156.235
4,10,4,10,4,10,77285.113,2,0.942,1966.406
4,10,4,10,4,10,77285.113,4,1.239,2367.522
4,10,4,10,4,10,77285.113,8,1.656,4199.499
4,10,4,10,4,10,77285.113,16,1.747,8328.226
4,10,4,10,4,10,77285.113,32,1.851,16381.262
4,10,4,10,4,10,77285.113,64,1.912,31876.476
4,10,4,10,4,10,77285.113,128,1.949,51980.121
4,10,4,10,4,20,79626.993,2,0.904,1909.58
4,10,4,10,4,20,79626.993,4,1.17,2689.346
4,10,4,10,4,20,79626.993,8,1.85,3669.988
4,10,4,10,4,20,79626.993,16,1.941,6922.554
4,10,4,10,4,20,79626.993,32,1.953,14241.771
4,10,4,10,4,20,79626.993,64,2.016,28182.635
4,10,4,10,4,20,79626.993,128,1.911,46488.546
4,20,4,20,4,20,77486.24,2,1.046,1410.338
4,20,4,20,4,20,77486.24,4,1.589,1963.252
4,20,4,20,4,20,77486.24,8,2.145,3358.62
4,20,4,20,4,20,77486.24,16,2.52,6211.162
4,20,4,20,4,20,77486.24,32,2.372,11968.839
4,20,4,20,4,20,77486.24,64,2.188,25183.571
4,20,4,20,4,20,77486.24,128,2.473,38941.47
4,30,4,30,4,20,80286.764,2,1.324,1410.231
4,30,4,30,4,20,80286.764,4,2.33,1538.399
4,30,4,30,4,20,80286.764,8,2.559,2532.059
4,30,4,30,4,20,80286.764,16,2.691,4638.192
4,30,4,30,4,20,80286.764,32,2.841,8931.68
4,30,4,30,4,20,80286.764,64,2.265,20483.367
4,30,4,30,4,20,80286.764,128,2.583,31535.615
4,40,4,30,4,30,74520.883,2,2.2,808.132
4,40,4,30,4,30,74520.883,4,2.331,1386.231
4,40,4,30,4,30,74520.883,8,2.737,2429.675
4,40,4,30,4,30,74520.883,16,3.863,3939.761
4,40,4,30,4,30,74520.883,32,4.015,6770.658
4,40,4,30,4,30,74520.883,64,4.045,13592.126
4,40,4,30,4,30,74520.883,128,3.72,24663.652
6,10,4,10,4,10,82345.53,2,1.046,1860.464
6,10,4,10,4,10,82345.53,4,1.281,2390.591
6,10,4,10,4,10,82345.53,8,1.728,3920.784
6,10,4,10,4,10,82345.53,16,1.828,7799.992
6,10,4,10,4,10,82345.53,32,1.929,15325.63
6,10,4,10,4,10,82345.53,64,1.93,29545.878
6,10,4,10,4,10,82345.53,128,1.979,51391.309
6,10,4,10,4,20,78691.094,2,1.318,1513.41
6,10,4,10,4,20,78691.094,4,1.104,2767.855
6,10,4,10,4,20,78691.094,8,1.59,4388.025
6,10,4,10,4,20,78691.094,16,1.787,7374.407
6,10,4,10,4,20,78691.094,32,1.81,15211.145
6,10,4,10,4,20,78691.094,64,1.901,30201.474
6,10,4,10,4,20,78691.094,128,1.897,47220.971
6,20,4,20,4,20,76235.361,2,0.904,1711.767
6,20,4,20,4,20,76235.361,4,1.526,2038.633
6,20,4,20,4,20,76235.361,8,1.893,3496.75
6,20,4,20,4,20,76235.361,16,2.038,6676.865
6,20,4,20,4,20,76235.361,32,2.093,13240.704
6,20,4,20,4,20,76235.361,64,2.292,23871.626
6,20,4,20,4,20,76235.361,128,2.394,38200.763
6,30,4,30,4,20,77135.819,2,1.527,958.686
6,30,4,30,4,20,77135.819,4,1.722,1865.567
6,30,4,30,4,20,77135.819,8,3.052,2356.409
6,30,4,30,4,20,77135.819,16,3.307,4342.152
6,30,4,30,4,20,77135.819,32,3.492,7601.329
6,30,4,30,4,20,77135.819,64,3.243,15903.489
6,30,4,30,4,20,77135.819,128,3.016,28261.005
6,40,4,30,4,30,88625.54,2,1.418,1209.511
6,40,4,30,4,30,88625.54,4,1.58,1770.581
6,40,4,30,4,30,88625.54,8,1.939,3320.553
6,40,4,30,4,30,88625.54,16,2.444,5424.345
6,40,4,30,4,30,88625.54,32,2.225,10505.406
6,40,4,30,4,30,88625.54,64,2.986,17740.13
6,40,4,30,4,30,88625.54,128,2.769,29901.971
