memory1,compute1,memory2,compute2,memory3,compute3,startup_time,load,throughput,latency
4,80,4,80,4,80,89000.82,2,1.04,1716.104
4,80,4,80,4,80,89000.82,4,1.471,1841.679
4,80,4,80,4,80,89000.82,8,2.267,3172.645
4,80,4,80,4,80,89000.82,16,3.172,4718.862
4,80,4,80,4,80,89000.82,32,3.081,9292.072
4,80,4,80,4,80,89000.82,64,3.474,16873.751
4,80,4,80,4,80,89000.82,128,3.438,27726.77
4,100,4,100,4,100,85683.388,2,1.524,1060.603
4,100,4,100,4,100,85683.388,4,1.982,1613.642
4,100,4,100,4,100,85683.388,8,2.552,2421.275
4,100,4,100,4,100,85683.388,16,2.834,4536.33
4,100,4,100,4,100,85683.388,32,3.314,7980.037
4,100,4,100,4,100,85683.388,64,3.259,16670.79
4,100,4,100,4,100,85683.388,128,3.142,27928.196
6,40,4,40,4,40,77826.135,2,1.524,1210.422
6,40,4,40,4,40,77826.135,4,1.889,1613.071
6,40,4,40,4,40,77826.135,8,2.831,2657.33
6,40,4,40,4,40,77826.135,16,3.173,4744.432
6,40,4,40,4,40,77826.135,32,3.308,8593.628
6,40,4,40,4,40,77826.135,64,3.415,16560.553
6,40,4,40,4,40,77826.135,128,3.165,29543.291
6,60,4,60,4,60,77426.711,2,1.323,1209.851
6,60,4,60,4,60,77426.711,4,2.084,1818.059
6,60,4,60,4,60,77426.711,8,2.644,2531.181
6,60,4,60,4,60,77426.711,16,2.836,4747.87
6,60,4,60,4,60,77426.711,32,3.082,8647.749
6,60,4,60,4,60,77426.711,64,2.984,17932.834
6,60,4,60,4,60,77426.711,128,3.302,27448.1
6,80,4,80,4,80,70384.637,2,1.321,1362.252
6,80,4,80,4,80,70384.637,4,3.036,1239.872
6,80,4,80,4,80,70384.637,8,3.041,1993.829
6,80,4,80,4,80,70384.637,16,3.599,3592.898
6,80,4,80,4,80,70384.637,32,3.688,7080.644
6,80,4,80,4,80,70384.637,64,2.952,15650.325
6,80,4,80,4,80,70384.637,128,3.102,23677.994
6,100,4,100,4,100,75204.758,2,1.801,909.838
6,100,4,100,4,100,75204.758,4,2.324,1263.799
6,100,4,100,4,100,75204.758,8,2.206,2908.15
6,100,4,100,4,100,75204.758,16,2.786,4701.486
6,100,4,100,4,100,75204.758,32,3.208,8090.512
6,100,4,100,4,100,75204.758,64,2.479,18849.677
6,100,4,100,4,100,75204.758,128,2.954,29241.12
