request_id,taskid,deadline,accuracy,requestsize,registrationts,deployts,executionts,responsets,node,variant,instance,state,error,totaltime,accuracy
0efc43cf-0441-469a-bb62-1c86bb3645d4,text-summarization,60000,80,1,2024-06-21T21:57:52+05:30,0001-01-01T00:00:00Z,2024-06-21T21:58:29+05:30,2024-06-21T21:58:35+05:30,,v2dafa70f-0b33-41ef-9f12-a5f78b2c9454,http://10.110.175.88:49152/summarize,completed,None,43231,85
e5b182ef-0c15-4559-b660-61e824a12b7c,text-summarization,60000,80,1,2024-06-21T21:58:53+05:30,0001-01-01T00:00:00Z,2024-06-21T21:58:56+05:30,2024-06-21T21:59:04+05:30,,v2dafa70f-0b33-41ef-9f12-a5f78b2c9454,http://10.110.175.88:49152/summarize,completed,None,11229,85
b9d0a816-8b6a-42d5-8667-4c3fa679e5e5,text-summarization,60000,80,1,2024-06-21T21:58:54+05:30,0001-01-01T00:00:00Z,2024-06-21T21:58:56+05:30,2024-06-21T21:59:04+05:30,,v2dafa70f-0b33-41ef-9f12-a5f78b2c9454,http://10.110.175.88:49152/summarize,completed,None,10215,85
b47d98e3-9bc1-4ca3-b183-0c7e5f1abf8d,text-summarization,60000,80,1,2024-06-21T21:58:52+05:30,0001-01-01T00:00:00Z,2024-06-21T21:58:56+05:30,2024-06-21T21:59:04+05:30,,v2dafa70f-0b33-41ef-9f12-a5f78b2c9454,http://10.110.175.88:49152/summarize,completed,None,12248,85
77f7ad33-9369-4035-a655-a82a73f96734,text-summarization,60000,80,1,2024-06-21T21:58:53+05:30,0001-01-01T00:00:00Z,2024-06-21T21:58:56+05:30,2024-06-21T21:59:04+05:30,,v2dafa70f-0b33-41ef-9f12-a5f78b2c9454,http://10.110.175.88:49152/summarize,completed,None,11232,85
0728461e-ca8e-47c8-96cc-986073a60b2d,text-summarization,60000,80,1,2024-06-21T21:58:54+05:30,0001-01-01T00:00:00Z,2024-06-21T21:58:56+05:30,2024-06-21T21:59:04+05:30,,v2dafa70f-0b33-41ef-9f12-a5f78b2c9454,http://10.110.175.88:49152/summarize,completed,None,10214,85
80fce8ce-3094-4d85-b2e2-fa881f972b25,text-summarization,60000,80,1,2024-06-21T21:58:55+05:30,0001-01-01T00:00:00Z,2024-06-21T21:58:56+05:30,2024-06-21T21:59:04+05:30,,v2dafa70f-0b33-41ef-9f12-a5f78b2c9454,http://10.110.175.88:49152/summarize,completed,None,9210,85
53d12c58-c607-48a0-987c-95dcf2eeba99,text-summarization,60000,80,1,2024-06-21T21:58:52+05:30,0001-01-01T00:00:00Z,2024-06-21T21:58:56+05:30,2024-06-21T21:59:04+05:30,,v2dafa70f-0b33-41ef-9f12-a5f78b2c9454,http://10.110.175.88:49152/summarize,completed,None,12253,85
705a3ed9-92e6-4853-b604-2ceaa805b533,text-summarization,60000,80,1,2024-06-21T21:58:55+05:30,0001-01-01T00:00:00Z,2024-06-21T21:58:56+05:30,2024-06-21T21:59:04+05:30,,v2dafa70f-0b33-41ef-9f12-a5f78b2c9454,http://10.110.175.88:49152/summarize,completed,None,9218,85
18d0e466-3822-4a0f-8ced-e1958014d7d1,text-summarization,60000,80,1,2024-06-21T21:58:54+05:30,0001-01-01T00:00:00Z,2024-06-21T21:58:56+05:30,2024-06-21T21:59:04+05:30,,v2dafa70f-0b33-41ef-9f12-a5f78b2c9454,http://10.110.175.88:49152/summarize,completed,None,10306,85
