memory1,compute1,memory2,compute2,memory3,compute3,memory4,compute4,startup_time,load,throughput,latency
4,50,4,50,4,50,2,50,93923.055,8,3.443,1668.569
4,50,4,50,4,50,2,50,93923.055,16,4.659,2898.985
4,50,4,50,4,50,2,50,93923.055,32,5.365,5537.231
4,50,4,50,4,50,2,50,93923.055,64,5.243,10341.987
4,50,4,50,4,50,2,50,93923.055,128,4.24,23266.795
4,75,4,75,4,75,2,75,108419.318,2,2.464,762.332
4,75,4,75,4,75,2,75,108419.318,4,3.59,836.423
4,75,4,75,4,75,2,75,108419.318,8,4.391,1540.908
4,75,4,75,4,75,2,75,108419.318,16,4.944,2851.491
4,75,4,75,4,75,2,75,108419.318,32,5.371,5136.479
4,75,4,75,4,75,2,75,108419.318,64,5.421,9938.632
4,75,4,75,4,75,2,75,108419.318,128,5.096,21246.107
4,100,4,100,4,100,2,100,93741.596,2,1.322,1510.65
4,100,4,100,4,100,2,100,93741.596,4,2.641,1087.885
4,100,4,100,4,100,2,100,93741.596,8,3.768,1892.078
4,100,4,100,4,100,2,100,93741.596,16,4.798,2999.277
4,100,4,100,4,100,2,100,93741.596,32,4.879,5615.032
4,100,4,100,4,100,2,100,93741.596,64,3.475,13011.399
4,100,4,100,4,100,2,100,93741.596,128,3.428,29001.355
